type,latitude,longitude,altitude (m),name
T,4.710508,-74.04806,2557,
T,4.710458,-74.04806,2556.9,
T,4.71041,-74.04806,2556.8,
T,4.710362,-74.04807,2556.7,
T,4.71031,-74.04807,2556.6,
T,4.710257,-74.04808,2556.5,
T,4.710208,-74.04809,2556.4,
T,4.710157,-74.04809,2556.3,
T,4.710105,-74.0481,2556.2,
T,4.710053,-74.0481,2556.1,
T,4.710002,-74.0481,2556,
T,4.709948,-74.04811,2556,
T,4.709892,-74.04812,2555.9,
T,4.709835,-74.04813,2555.9,
T,4.709778,-74.04814,2555.9,
T,4.709722,-74.04815,2555.8,
T,4.709662,-74.04816,2555.8,
T,4.709605,-74.04817,2555.7,
T,4.709547,-74.04818,2555.7,
T,4.70949,-74.04819,2555.6,
T,4.709433,-74.0482,2555.5,
T,4.709375,-74.04821,2555.5,
T,4.709317,-74.04822,2555.4,
T,4.709243,-74.04821,2555.4,
T,4.709185,-74.04822,2555.3,
T,4.709137,-74.04823,2555.2,
T,4.709097,-74.04822,2555.2,
T,4.709053,-74.04822,2555.2,
T,4.708997,-74.04823,2555.1,
T,4.708943,-74.04824,2555,
T,4.708888,-74.04825,2555,
T,4.708832,-74.04825,2554.9,
T,4.70878,-74.04826,2554.8,
T,4.708732,-74.04827,2554.7,
T,4.70868,-74.04827,2554.7,
T,4.708633,-74.04828,2554.6,
T,4.708585,-74.04829,2554.5,
T,4.708537,-74.0483,2554.4,
T,4.708488,-74.0483,2554.4,
T,4.708447,-74.04831,2554.3,
T,4.70841,-74.04831,2554.2,
T,4.708372,-74.04832,2554.1,
T,4.708328,-74.04833,2554,
T,4.708282,-74.04834,2553.9,
T,4.708232,-74.04834,2553.8,
T,4.708188,-74.04834,2553.7,
T,4.708148,-74.04836,2553.6,
T,4.708105,-74.04836,2553.5,
T,4.708083,-74.04839,2553.4,
T,4.708073,-74.04843,2553.4,
T,4.708043,-74.04844,2553.4,
T,4.708017,-74.04845,2553.3,
T,4.707968,-74.04845,2553.2,
T,4.707923,-74.04845,2553.2,
T,4.707878,-74.04846,2553.1,
T,4.707833,-74.04846,2553,
T,4.707785,-74.04846,2552.9,
T,4.707735,-74.04846,2552.8,
T,4.70769,-74.04847,2552.7,
T,4.707642,-74.04847,2552.6,
T,4.70759,-74.04848,2552.5,
T,4.707538,-74.04848,2552.4,
T,4.707483,-74.04849,2552.3,
T,4.707428,-74.04849,2552.3,
T,4.707373,-74.0485,2552.2,
T,4.70732,-74.04851,2552.1,
T,4.707267,-74.04851,2552,
T,4.707215,-74.04852,2552,
T,4.707162,-74.04852,2551.9,
T,4.70711,-74.04852,2551.8,
T,4.70706,-74.04852,2551.7,
T,4.707008,-74.04852,2551.6,
