type,latitude,longitude,altitude (m),name
T,4.678858,-74.0453,2564.2,
T,4.678908,-74.04527,2564.2,
T,4.678955,-74.04524,2564.2,
T,4.679002,-74.04521,2564.1,
T,4.679048,-74.04519,2564.1,
T,4.679095,-74.04517,2564.1,
T,4.679143,-74.04515,2564,
T,4.679183,-74.04513,2564,
T,4.679225,-74.0451,2563.9,
T,4.679272,-74.04508,2563.8,
T,4.67932,-74.04505,2563.8,
T,4.679368,-74.04503,2563.7,
T,4.679418,-74.045,2563.7,
T,4.679473,-74.04494,2563.7,
T,4.67952,-74.04491,2563.7,
T,4.679563,-74.04488,2563.7,
T,4.679612,-74.04485,2563.7,
T,4.67966,-74.04482,2563.7,
T,4.679712,-74.0448,2563.7,
T,4.679758,-74.04477,2563.7,
T,4.679798,-74.04472,2563.8,
T,4.67982,-74.0447,2563.8,
T,4.679837,-74.04469,2563.8,
T,4.679848,-74.04469,2563.8,
T,4.679857,-74.04469,2563.8,
T,4.679855,-74.04469,2563.8,
T,4.679962,-74.0447,2563.7,
T,4.679995,-74.04469,2563.7,
T,4.680033,-74.04467,2563.7,
T,4.680077,-74.04465,2563.7,
T,4.680122,-74.04462,2563.6,
T,4.680162,-74.04458,2563.6,
T,4.680212,-74.04455,2563.5,
T,4.68026,-74.04453,2563.4,
T,4.68031,-74.04451,2563.3,
T,4.680357,-74.04448,2563.2,
T,4.680403,-74.04445,2563,
T,4.680455,-74.04442,2562.9,
T,4.680505,-74.04439,2562.7,
T,4.680557,-74.04437,2562.5,
T,4.680605,-74.04434,2562.3,
T,4.680657,-74.04431,2562,
T,4.68071,-74.04429,2561.8,
T,4.680762,-74.04426,2561.5,
T,4.6808,-74.04424,2561.3,
T,4.680847,-74.04422,2561.1,
T,4.68089,-74.0442,2561,
T,4.680938,-74.04418,2560.9,
T,4.680988,-74.04416,2560.8,
T,4.681038,-74.04413,2560.8,
T,4.681082,-74.0441,2560.9,
T,4.68113,-74.04408,2560.9,
T,4.681183,-74.04405,2560.9,
T,4.681235,-74.04402,2560.9,
T,4.681285,-74.044,2560.9,
T,4.681335,-74.04398,2560.8,
T,4.681382,-74.04396,2560.8,
T,4.681427,-74.04394,2560.8,
T,4.68147,-74.04392,2560.8,
T,4.681513,-74.0439,2560.8,
T,4.681553,-74.04388,2560.8,
T,4.681593,-74.04387,2560.8,
T,4.681635,-74.04386,2560.8,
T,4.681695,-74.04383,2560.8,
T,4.681733,-74.0438,2560.8,
T,4.681777,-74.04378,2560.8,
T,4.681825,-74.04375,2560.8,
T,4.68187,-74.04373,2560.8,
T,4.681913,-74.04371,2560.8,
T,4.681952,-74.04369,2560.8,
T,4.681992,-74.04367,2560.7,
T,4.68203,-74.04365,2560.7,
T,4.682068,-74.04364,2560.7,
T,4.682108,-74.04362,2560.6,
T,4.682167,-74.04356,2560.6,
T,4.682203,-74.04354,2560.5,
T,4.682227,-74.04352,2560.5,
T,4.682245,-74.0435,2560.5,
T,4.682257,-74.0435,2560.5,
T,4.682268,-74.04349,2560.5,
T,4.682277,-74.04348,2560.4,
T,4.682282,-74.04348,2560.4,
T,4.682287,-74.04348,2560.4,
T,4.682403,-74.0434,2560.2,
T,4.68245,-74.04338,2560.1,
T,4.682498,-74.04336,2560,
T,4.68255,-74.04334,2559.9,
T,4.6826,-74.04332,2559.9,
T,4.682652,-74.0433,2559.8,
T,4.682707,-74.04328,2559.8,
T,4.682762,-74.04326,2559.7,
T,4.682812,-74.04323,2559.7,
T,4.682863,-74.04322,2559.7,
T,4.682913,-74.04323,2559.6,
T,4.68296,-74.04326,2559.5,
T,4.68298,-74.04329,2559.5,
T,4.682997,-74.04332,2559.4,
T,4.68302,-74.04335,2559.4,
T,4.68304,-74.04338,2559.4,
T,4.68305,-74.04343,2559.4,
T,4.683052,-74.04347,2559.4,
T,4.683027,-74.04353,2559.5,
T,4.683045,-74.04357,2559.5,
T,4.683062,-74.04361,2559.6,
T,4.683083,-74.04366,2559.6,
T,4.683102,-74.04371,2559.6,
T,4.683118,-74.04376,2559.6,
T,4.683135,-74.04381,2559.7,
T,4.683148,-74.04385,2559.7,
T,4.683167,-74.0439,2559.7,
T,4.683185,-74.04395,2559.8,
T,4.683205,-74.044,2559.8,
T,4.683227,-74.04406,2559.9,
T,4.683248,-74.04411,2559.9,
T,4.683275,-74.04416,2560,
T,4.683302,-74.04421,2560.1,
T,4.683328,-74.04427,2560.2,
T,4.683358,-74.04432,2560.4,
T,4.68338,-74.04437,2560.6,
T,4.683403,-74.04441,2560.8,
T,4.683425,-74.04446,2560.9,
T,4.683448,-74.04451,2561.1,
T,4.683477,-74.04456,2561.2,
T,4.683497,-74.0446,2561.3,
T,4.683515,-74.04464,2561.4,
T,4.68352,-74.04464,2561.4,
T,4.683525,-74.04465,2561.4,
T,4.68354,-74.04469,2561.5,
T,4.683547,-74.0447,2561.6,
T,4.68355,-74.04471,2561.6,
T,4.683557,-74.04472,2561.6,
T,4.683572,-74.04477,2561.7,
T,4.683582,-74.04481,2561.7,
T,4.683595,-74.04485,2561.8,
T,4.683617,-74.04491,2561.9,
T,4.683637,-74.04495,2561.9,
T,4.683657,-74.045,2562,
T,4.683673,-74.04505,2562,
T,4.683695,-74.0451,2561.9,
T,4.683728,-74.04516,2561.9,
T,4.68376,-74.04526,2561.8,
T,4.683792,-74.04535,2561.8,
T,4.683815,-74.04538,2561.7,
